digitized_point_id,normalized_out_of_domain_index,trust_pct
349,0.74438,81.179
350,0.75562,81.179
351,0.84270,81.179
352,0.92416,81.179
353,0.79213,81.014
354,0.94382,80.849
355,0.78371,80.684
356,0.65169,80.519
357,0.72191,80.354
358,0.87079,80.354
359,0.64045,80.189
360,0.64326,80.189
361,0.90169,80.189
362,0.90449,80.189
363,0.92416,80.189
364,0.92697,80.189
365,0.95787,80.189
366,0.79494,80.024
367,0.79775,80.024
368,0.82865,80.024
369,0.85393,80.024
370,0.85674,80.024
371,0.89045,80.024
372,0.92416,80.024
373,0.92697,80.024
374,0.78090,79.858
375,0.79494,79.858
376,0.79775,79.858
377,0.82865,79.858
378,0.85112,79.858
379,0.85393,79.858
380,0.61798,79.693
381,0.82584,79.693
382,0.84831,79.693
383,0.85112,79.693
384,0.60674,79.528
385,0.81180,79.528
386,0.95506,79.528
387,0.95787,79.528
388,0.60393,79.363
389,0.69663,79.363
390,0.95787,79.363
391,0.96067,79.363
392,0.88202,79.198
393,0.94101,79.198
394,0.96067,79.198
395,0.96910,79.198
396,0.73596,79.033
397,0.79213,78.868
398,0.83427,78.868
399,0.83708,78.868
400,0.92978,78.868
401,0.75281,78.703
402,0.79775,78.703
403,0.83427,78.703
404,0.83708,78.703
405,0.91292,78.703
406,0.91573,78.703
407,0.91854,78.703
408,0.92135,78.703
409,0.89326,78.538
410,0.95225,78.538
411,0.96348,78.373
412,0.96629,78.373
413,0.73315,78.208
414,0.96348,78.208
415,0.96629,78.208
416,0.73315,78.042
417,0.81461,77.877
418,0.81742,77.877
419,0.89888,77.877
420,0.90169,77.877
421,0.93820,77.877
422,0.76124,77.712
423,0.76404,77.712
424,0.84270,77.712
425,0.84551,77.712
426,0.71067,77.547
427,0.71348,77.547
428,0.76124,77.547
429,0.76404,77.547
430,0.84551,77.547
431,0.84831,77.547
432,0.85393,77.547
433,0.68820,77.382
434,0.71067,77.382
435,0.71348,77.382
436,0.86517,77.217
437,0.86798,77.217
438,0.87079,77.217
439,0.94944,77.217
440,0.76685,77.052
441,0.76404,76.887
442,0.76685,76.887
443,0.87921,76.887
444,0.92697,76.887
445,0.76124,76.722
446,0.76404,76.722
447,0.95225,76.722
448,0.88764,76.557
449,0.91854,76.557
450,0.96629,76.392
451,0.68258,76.226
452,0.82303,76.226
453,0.93539,76.226
454,0.85674,76.061
455,0.85955,76.061
456,0.83989,75.896
457,0.85955,75.896
458,0.86236,75.896
459,0.95506,75.896
460,0.95787,75.896
461,0.86236,75.731
462,0.94663,75.731
463,0.80337,74.906
464,0.91854,74.906
465,0.96348,74.410
466,0.90169,74.245
467,0.88483,73.750
468,0.89607,73.420
